Waktu,Data,Sentiment
9/18/2021 12:50,Jangan langsung percaya dengan berita miring aplikasi peduli lindungi tanpa di koreksi terlebih dahulu.,positive
9/17/2021 10:08,Makanya aplikasi peduli lindungi ini sangat penting.,positive
9/21/2021 3:53,Aku sudah 2 kali vaksin dan ada datanya lengkap di Peduli Lindungi,positive
9/20/2021 2:27,waduh…. Kalau itu server sananya yang berantakan deh. . Kalau pesan singkat dari Peduli Lindungi dapat tidak? saya dulu juga sama ka,negative
9/17/2021 12:23,"Di tempat saya masih main tembak2an tapi yang nembak tidak Peduli Lindungi, hasil tembaknya tidak dilihat",negative
9/4/2021 11:20,Berkat baca jawaban kakak saya jadi bisa unduh sertifikat vaksin di peduli lindungi. Terimakasih,positive
9/4/2021 8:53,aplikasi peduli lindungi aman dan terpercaya #Peduli Lindungi Aman usut dan pidana kan yang bocor kan data presiden,positive
9/22/2021 15:13,aplikasi peduli lindungi aman dan terpercaya data pribadi presiden,positive
9/18/2021 15:00,Ribet karena belum punya aplikasinya. Ribet ketika ingin masuk aplikasinya. Ribet karena tidak tahu bahwa ternyata sekarang harus pakai aplikasi peduli lindungi,negative
9/20/2021 10:04,kalau kendaraan pribadi tidak. . tapi kalau ke tempat umum banyak yang perlu aplikasi peduli lindungi,positive
9/20/2021 6:46,Sama seperti punyaku dulu kak. Seritifikat vaksin juga tidak keluar padahal sudah vaksin.,negative
9/20/2021 6:01,"coba email saja ka, sudah periksa pakai link yang diluar aplikasi peduli lindungi juga kan?",neutral
9/4/2021 6:10,"Maaf ka, saya juga punya kendala yang sangat mirip sama anda, dan akhirnya saya mencoba hubungi pelayanan peduli lindungi langsung",positive
9/16/2021 0:22,"Jadi jelas bukan kebocoran data aplikasi peduli lindungi yah, hati hati menerima berita. #Peduli Lindungi Aman",positive
9/21/2021 10:16,Kok bisa lolos scanning barcode Peduli Lindungi? Di lakukan apa sama mereka?,neutral
9/6/2021 3:14,Keuntungan dari aplikasi peduli lindungi itu banyak untuk masyarakat,positive
9/18/2021 2:57,"kalau saya sih ambil jalan tengah ya, ini mereka yang datang sudah pada vaksin belum? tinggal aktifkan aja GPS peduli lindunginya",positive
9/7/2021 11:41,Naik bus itu sekarang harus scan Peduli Lindungi tidak ? saya belum vaksin karena habis positif,neutral
9/17/2021 12:15,Selamat siang Kak. Sertifikat vaksin dapat ditunjukkan dalam bentuk fisik / cetak maupun secara digital dapat di unduh pada aplikasi peduli lindungi,positive
9/17/2021 15:49,kenapa memang dengan Peduli Lindungi?,neutral
9/16/2021 15:16,"Refleksi ka, sudah bisa pakai aplikasi peduli lindungi",positive
9/19/2021 2:21,"di saya jadwal vaksin di Peduli Lindungi tidak keluar tapi sudah dapat tiket dan sudah nunggu sebulan, akhirnya dapat juga…",positive
9/17/2021 14:57,Sekarang sudah ada Peduli Lindungi ka,positive
9/5/2021 7:09,"Katanya kemarin tidak bisa berangkat ya ka, karena aplikasinya tidak bisa Menunjukan sertifikat vaksin. Sama dong",negative
9/18/2021 15:11,harus pakai Peduli Lindungi gitu jadi lebih mudah,positive
9/18/2021 2:42,ke mall katanya harus punya aplikasi peduli lindungi di ponsel juga…. ih ribet,negative
9/22/2021 22:58,Cari saja langsung di web Peduli Lindungi,positive
9/7/2021 1:52,tiba2 ada di aplikasi peduli lindungi kamu?,neutral
9/19/2021 8:04,sekarang semua mall harus pakai aplikasi peduli lindungi sih ya?,neutral
9/21/2021 4:55,Kalau Saya dapat pesan singkat . . . Coba cari di Peduli Lindungi dulu,neutral
9/18/2021 2:57,Coba Kereta periksa Nomor Induk Kependudukan nya. Di aplikasi peduli lindungi. Periksa itu Nomor Induk Kependudukan sudah dipakai untuk vaksin atau belum. Kalau belum bisa,neutral
9/18/2021 2:43,Tidak bisa sepertinya deh kalau diurus ke Peduli Lindungi atau call center. Kemarin saya langsung ngomong ke pihak panitia,negative
9/18/2021 2:42,Peduli Lindungi masalah lagi…,negative
9/18/2021 1:48,"saya sudah vaksin malah Tidak terdaftar di Peduli Lindungi, disuruh ulang vaksin dosis 1 lagi. Nanti saya jadi mutan gimana",negative
9/18/2021 2:08,"Wah saya kurang tahu ka, coba lagi ya terus hubungi kontak yang tertera di Peduli Lindungi. Semoga berhasil",negative
9/18/2021 4:02,"Ya!!!! saya termasuk orang yang bermasalah tapi sudah selesai, saya telepon Peduli Lindungi sekitar jam 3, harus langsung di hubungi",positive
9/17/2021 4:32,Kacau banget untuk Peduli Lindungi ganti ponsel jadi tidak bisa dipakai lagi,negative
9/22/2021 13:24,Serta mengisi formulir elektronik HAC melalui aplikasi peduli lindungi. (2). Terimakasih,positive
9/22/2021 2:22,Di Lihat di aplikasi peduli lindungi sudah ada tanggal?,neutral
9/6/2021 3:36,STRP /surat keterangan kerja sama di beberapa stasiun lagi di uji coba pakai aplikasi peduli lindungi,positive
9/22/2021 3:11,harus vaksin pertama Minimal. Kalau pesan melalui KAI Akses sudah otomatis bisa nyambung ke Peduli Lindungi,positive
9/22/2021 8:51,coba tunggu dulu sekiranya lewat dari 7 hari belum ada sertifikat dari Peduli Lindungi coba email kesini ya,positive
9/20/2021 9:07,"sertifikat yang di aplikasi peduli lindungi? kalau itu tunggu saja, biasanya sama orang sananya belum di data. tunggu paling 2- 3 harian",neutral
9/16/2021 9:07,"syarat : aplikasi peduli lindungi, surat hasil rapid antigen (1x24 jam) , sudah melakukan vaksin (Minimal dosis 1)",neutral
9/17/2021 11:13,scan barcode Peduli Lindungi saja ya? surat tidak ya?,neutral
9/4/2021 9:11,aplikasi peduli lindungi aman dan terpercaya #Peduli Lindungi Aman,positive
9/16/2021 13:50,yang dibuktikan dengan menunjukan aplikasi peduli lindungi / kartu vaksin saat boarding.,positive
9/21/2021 5:51,"kalau tidak salah, Peduli Lindungi sama elektronik HAC memang lagi eror.",negative
9/18/2021 6:25,"Narasi peduli sesama, lindungi sesama? Ya kalau kebijakan nya benar , mengikuti tatanan sistem aplikasi peduli lindungi",negative
9/21/2021 12:42,"Ya tidak apa kalau malas yang sengsara nanti kamu ini kalau butuh sesuatu. Ke pasar, mall, dan lain2",negative
9/16/2021 15:00,Tidak akan kaget kalau Peduli Lindungi akan berakhir seperti halaman utama internet positif,positive
9/20/2021 7:48,"Hai kak boleh coba daftar ulang pakai email aktif saja ka, atau mungkin sudah punya akun Peduli Lindungi",neutral
9/21/2021 7:33,"Aku, positif covid baru 2 bulan dan di paksakan vaksin soalnya di sini Tidak bisa melakukan apa2 rasanya kalau Peduli Lindungi belum hijau",negative
9/8/2021 16:40,Dapat kami informasikan untuk rute penerbangan tersebut masih diwajibkan melampirkan hasil negatif PCR.,neutral
9/20/2021 6:45,Di toko pedia ada Peduli Lindungi juga ka,positive
9/18/2021 8:13,aku yang ke 1 karena ikut masal jadi sertifikat di Peduli Lindungi saja dan itu h+3 kalau yang ke 2 di puskesmas langsung,positive
9/18/2021 8:17,"unduh Peduli Lindungi Ibu, jangan lupa verifikasinya pakai nomor ponsel supaya sertifikatnya keluar hehehe",positive
9/16/2021 16:23,itu aplikasi nya namanya Peduli Lindungi bukan peduli kasih ?,neutral
9/18/2021 10:21,"sudah nanti saja, pakai Peduli Lindungi sekarang masuknya. Sepi banget tadi yang nonton paling 10 orang",negative
9/21/2021 4:32,Kalau kamu test langsung masuk kok di aplikasi peduli lindungi,positive
9/17/2021 2:45,Bagi calon pengguna jasa yang ingin naik Kereta diwajibkan Menunjukan sertifikat vaksin melalui aplikasi peduli lindungi,positive
9/17/2021 0:10,Lihat aplikasi peduli lindungi dulu saja tunggu beberapa hari dulu,positive
9/3/2021 23:45,"Selamat pagi Kak. Jika sertifikat vaksin sudah tersedia di aplikasi peduli lindungi, silahkan unduh terlebih dahulu ya",positive
9/21/2021 12:58,Lihat di aplikasi peduli lindungi ka,neutral
9/17/2021 10:45,Mulai 11 September 2021 perjalanan menggunakan Kereta wajib Menunjukan sertifikat vaksin melalui aplikasi peduli lindungi,positive
9/19/2021 6:03,"Data vaksin di Peduli Lindungi saja tidak ada, betulkan dulu atuh aplikasinya",negative
9/17/2021 4:37,"nah, jika sudah 2x vaksin tapi di Peduli Lindungi hanya terekam hanya 1x gimana dong ya kak?",negative
9/17/2021 4:43,"sudah 2x vaksin, Ketika di periksa Nomor Induk Kependudukan istri : terekam semua saya : terekam yang kedua saja, tapi di aplikasi peduli lindungi keterangannya belum vaksin 1",negative
9/16/2021 8:08,disamakan dengan kartu tanda penduduk Tidak scan Peduli Lindungi nya?,neutral
9/9/2021 12:35,Tadinya kan masuk aplikasi peduli lindungi hanya pakai Nomor Induk Kependudukan.,negative
9/7/2021 4:27,Selamat siang. Untuk penggunaan aplikasi peduli lindungi saat ini masih dalam tahap uji coba.,positive
9/19/2021 9:27,"Ka? saya sudah 2x antigen, tapi hasil antigen tidak teritegrasi di aplikasi peduli lindungi, apakah masih bisa terbang?",negative
9/6/2021 6:59,"mohon informasi, di bandara ahmad yani di semarang, apakah sudah bisa validasi hasil PCR digital menggunakan peduli lindungi?",neutral
9/8/2021 3:18,pagi Ka? saya ingin bertanya. untuk cara masuk bandara menggunakan hasil PCR dari aplikasi peduli lindungi,neutral
9/18/2021 0:12,"Maksudnya gimana deh , kita belanja di Peduli Lindungi gitu? Jadinya Peduli Lindungi kita bisa mesan sesuatu?",neutral
9/18/2021 9:46,Pak anies ada kendala tidak pakai aplikasi peduli lindungi?,neutral
9/17/2021 16:57,yuk ka. Masuk kerumah nindy langsung scan Peduli Lindungi,positive
9/19/2021 5:46,Nasi goreng Pendi Depok 2 setelah pom bensin pasar agung. tidak perlu aplikasi peduli lindungi,positive
9/10/2021 5:57,"Iya, ka. Tidak perlu karena ada di aplikasi peduli lindungi yang kita unduh",positive
9/16/2021 17:03,"Coba di periksa Di aplikasi Peduli Lindungi, Dan sekarang banyak jasa SWAB murah apa itu terdaftar juga?",negative
9/18/2021 5:36,Vaksin saja. Kemudian Scan QR dari aplikasi peduli lindungi,positive
9/7/2021 3:41,"Kalau tidak ada di aplikasi peduli lindungi, periksanya di website Peduli Lindungi. ",positive
9/17/2021 4:34,Makanya pasang aplikasi peduli lindungi dong,negative
9/22/2021 6:15,dan Ketika ke royal mall surabaya kemarin juga masuk saja hahaha anak2 bayi Sudah mulai masuk. Terus ada yang pasangan yang scan Peduli Lindungi,positive
9/22/2021 8:08,iya saya lihat di Peduli Lindungi,positive
9/22/2021 18:28,Tapi saya bingung ini. . Ko bisa ya Tidak vaksin tapi dapat sertifikat vaksin dan Nomor Induk Kependudukan nya itu terdaftar di Peduli Lindungi,neutral
9/19/2021 11:23,"Di Tangerang sudah bisa langsung yang penting sudah vaksin sama scan Peduli Lindungi, beda ya disana?",positive
9/4/2021 13:39,"Betul, harus ada aplikasi peduli lindungi di Ponsel",positive
9/20/2021 14:06,Kaka sudah dapat sertifikat Peduli Lindungi belum?,neutral
9/8/2021 13:31,Untuk perihal tersebut silahkan menunjukan aplikasi peduli lindungi kepada pihak KKP bandara,positive
9/17/2021 2:11,Betul iya apa sebenarnya fungsi e di kartu tanda penduduk itu kenapa masih saja sana sini suruh cetak untuk daftar vaksin. di aplikasi peduli lindungi kan sudah ada,neutral
9/20/2021 6:58,"lihat di website Peduli Lindungi ka, disitu ada kontaknya sepertinya",positive
9/4/2021 22:20,Padahal aplikasi peduli lindungi itu banyak Tidak terhubung dengan benar. . Nomor Induk Kependudukan saja dipakai orang lain. .,negative
9/21/2021 5:27,Sempat begini setelah vaksin kedua. Setelah sebulan tidak muncul2 sertifikat di Peduli Lindungi.,negative
9/18/2021 14:13,"Ada akunnya di Peduli Lindungi? Soalnya kan harus bikin akun nya dulu. Kalau masih Tidak ada, biasanya ada kendala",neutral
9/22/2021 11:59,ada yang tahu Tidak sudah lebih dari 1 bulan kenapa sertifikat vaksin belum keluar juga di Peduli Lindungi?,negative
9/22/2021 7:58,aku sudah pasang Peduli Lindungi kok belum merasakan ada yang peduli ataupun melindungi. Terimakasih,negative
9/16/2021 3:41,"aku tidak dikasih, vaksin pertama hanya dapat yang di cetak, vaksin kedua langsung disuruh lihat Peduli Lindungi",negative
9/17/2021 23:03,bisa pakai Peduli Lindungi jadi harus sudah vaksin,positive
9/10/2021 4:20,"Lihat di aplikasi peduli lindungi saja, saya vaksin kedua kemarin sampai saat ini belum terima pesan singkat tapi di aplikasi peduli lindungi sudah ada",positive
9/7/2021 3:34,"Lihat di aplikasi / link Peduli Lindungi saja, saya nunggu pesan singkat tidak dapat2 tapi Ketika periksa link nya malah ada",positive
9/16/2021 3:35,Coba kamu masuk akun Peduli Lindungi namanya sudah benar belum? Punya Ibu Saya juga gitu namanya ada yang kurang,negative
9/5/2021 10:11,Coba unduh aplikasi peduli lindungi,positive
9/22/2021 3:03,"di Peduli Lindunginya juga tidak ada kak? saya kalau pesan singkat sih waktu dosis 1 dan 2 pun tidak dapat pesan singkat, tapi di Peduli Lindungi ada",positive
9/16/2021 4:36,"Dikasih kok, kamu sudah isi Nomor Induk Kependudukan nya belum? kalau sudah coba daftar di Peduli Lindungi untuk dapat sertifikatnya saja",positive
9/16/2021 3:31,"jangan nunggu di pesan singkat sih, coba saja langsung daftar di Peduli Lindungi terus langsung cari Nomor Induk Kependudukan kamu, waktu itu saya begitu",neutral
9/16/2021 7:11,kalau kamu daftar vaksin 1 online ya berarti kartu vaksin kamu juga online bisa di periksa di Peduli Lindungi,positive
