Waktu,Data,data_tokens,data_tokens_stopwords,data_tokens_stemmed,data_preprocessed,Sentiment
9/7/2021 14:32,peduli lindungi jadi syarat pemeriksaan untuk memasuki tempat umum,"['peduli', 'lindungi', 'jadi', 'syarat', 'pemeriksaan', 'untuk', 'memasuki', 'tempat', 'umum']","['peduli', 'lindungi', 'syarat', 'pemeriksaan', 'memasuki']","['peduli', 'lindung', 'syarat', 'periksa', 'pasuk']","['peduli', 'lindung', 'syarat', 'periksa', 'pasuk']",positive
9/18/2021 1:53,mulai september jika ingin ke supermarket dan hypermart wajib menggunakan aplikasi peduli lindungi,"['mulai', 'september', 'jika', 'ingin', 'ke', 'supermarket', 'dan', 'hypermart', 'wajib', 'menggunakan', 'aplikasi', 'peduli', 'lindungi']","['september', 'supermarket', 'hypermart', 'wajib', 'aplikasi', 'peduli', 'lindungi']","['september', 'supermarket', 'hypermart', 'wajib', 'aplikasi', 'peduli', 'lindung']","['september', 'supermarket', 'hypermart', 'wajib', 'aplikasi', 'peduli', 'lindung']",positive
9/16/2021 5:35,riwayat perjalanan di aplikasi peduli lindungi ini yang bisa lihat kita pribadi saja kan ya saya takut deh soalnya,"['riwayat', 'perjalanan', 'di', 'aplikasi', 'peduli', 'lindungi', 'ini', 'yang', 'bisa', 'lihat', 'kita', 'pribadi', 'saja', 'kan', 'ya', 'saya', 'takut', 'deh', 'soalnya']","['riwayat', 'perjalanan', 'aplikasi', 'peduli', 'lindungi', 'lihat', 'pribadi', 'ya', 'takut', 'deh']","['riwayat', 'jalan', 'aplikasi', 'peduli', 'lindung', 'lihat', 'pribadi', 'ya', 'takut', 'deh']","['riwayat', 'jalan', 'aplikasi', 'peduli', 'lindung', 'lihat', 'pribadi', 'ya', 'takut', 'deh']",negative
9/18/2021 8:41,sekolah sudah offline mall tempat wisata dan lain lain sudah boleh dikunjungi selagi scan barcode dari peduli lindungi saya kemarin sudah coba ka,"['sekolah', 'sudah', 'offline', 'mall', 'tempat', 'wisata', 'dan', 'lain', 'lain', 'sudah', 'boleh', 'dikunjungi', 'selagi', 'scan', 'barcode', 'dari', 'peduli', 'lindungi', 'saya', 'kemarin', 'sudah', 'coba', 'ka']","['sekolah', 'offline', 'mall', 'wisata', 'dikunjungi', 'selagi', 'scan', 'barcode', 'peduli', 'lindungi', 'kemarin', 'coba', 'ka']","['sekolah', 'offline', 'mall', 'wisata', 'kunjung', 'selagi', 'scan', 'barcode', 'peduli', 'lindung', 'kemarin', 'coba', 'ka']","['sekolah', 'offline', 'mall', 'wisata', 'kunjung', 'selagi', 'scan', 'barcode', 'peduli', 'lindung', 'kemarin', 'coba', 'ka']",positive
9/19/2021 9:30,maaf ikutan mau tanya dong kalau misal akun vaksin peduli lindungi kalian dibuat sama nomor ibu gimana,"['maaf', 'ikutan', 'mau', 'tanya', 'dong', 'kalau', 'misal', 'akun', 'vaksin', 'peduli', 'lindungi', 'kalian', 'dibuat', 'sama', 'nomor', 'ibu', 'gimana']","['maaf', 'ikutan', 'akun', 'vaksin', 'peduli', 'lindungi', 'nomor', 'gimana']","['maaf', 'ikut', 'akun', 'vaksin', 'peduli', 'lindung', 'nomor', 'gimana']","['maaf', 'ikut', 'akun', 'vaksin', 'peduli', 'lindung', 'nomor', 'gimana']",neutral
9/3/2021 22:37,tolong bantu ibu lihat sertifikat vaksin di peduli lindungi,"['tolong', 'bantu', 'ibu', 'lihat', 'sertifikat', 'vaksin', 'di', 'peduli', 'lindungi']","['tolong', 'bantu', 'lihat', 'sertifikat', 'vaksin', 'peduli', 'lindungi']","['tolong', 'bantu', 'lihat', 'sertifikat', 'vaksin', 'peduli', 'lindung']","['tolong', 'bantu', 'lihat', 'sertifikat', 'vaksin', 'peduli', 'lindung']",neutral
9/18/2021 11:25,warga satu saudara di banten sudah di vaksinasi kok data di kartu vaksinasi ada yang salah nanti salah juga dong di peduli lindunginya,"['warga', 'satu', 'saudara', 'di', 'banten', 'sudah', 'di', 'vaksinasi', 'kok', 'data', 'di', 'kartu', 'vaksinasi', 'ada', 'yang', 'salah', 'nanti', 'salah', 'juga', 'dong', 'di', 'peduli', 'lindunginya']","['warga', 'saudara', 'banten', 'vaksinasi', 'data', 'kartu', 'vaksinasi', 'salah', 'salah', 'peduli', 'lindunginya']","['warga', 'saudara', 'banten', 'vaksinasi', 'data', 'kartu', 'vaksinasi', 'salah', 'salah', 'peduli', 'lindung']","['warga', 'saudara', 'banten', 'vaksinasi', 'data', 'kartu', 'vaksinasi', 'salah', 'salah', 'peduli', 'lindung']",negative
9/18/2021 3:56,ini saya sudah vaksin dari tanggal agustus tapi baru periksa peduli lindungi sekarang langsung ada serifikat,"['ini', 'saya', 'sudah', 'vaksin', 'dari', 'tanggal', 'agustus', 'tapi', 'baru', 'periksa', 'peduli', 'lindungi', 'sekarang', 'langsung', 'ada', 'serifikat']","['vaksin', 'tanggal', 'agustus', 'periksa', 'peduli', 'lindungi', 'langsung', 'serifikat']","['vaksin', 'tanggal', 'agustus', 'periksa', 'peduli', 'lindung', 'langsung', 'serifikat']","['vaksin', 'tanggal', 'agustus', 'periksa', 'peduli', 'lindung', 'langsung', 'serifikat']",positive
9/21/2021 10:38,maaf ikutan tapi saya tidak dapat sertifikat dari peduli lindungi soalnya nomor induk kependudukan dipakai orang lain bawa kartu vaksin saja bisa tidak ya,"['maaf', 'ikutan', 'tapi', 'saya', 'tidak', 'dapat', 'sertifikat', 'dari', 'peduli', 'lindungi', 'soalnya', 'nomor', 'induk', 'kependudukan', 'dipakai', 'orang', 'lain', 'bawa', 'kartu', 'vaksin', 'saja', 'bisa', 'tidak', 'ya']","['maaf', 'ikutan', 'sertifikat', 'peduli', 'lindungi', 'nomor', 'induk', 'kependudukan', 'dipakai', 'orang', 'bawa', 'kartu', 'vaksin', 'ya']","['maaf', 'ikut', 'sertifikat', 'peduli', 'lindung', 'nomor', 'induk', 'duduk', 'pakai', 'orang', 'bawa', 'kartu', 'vaksin', 'ya']","['maaf', 'ikut', 'sertifikat', 'peduli', 'lindung', 'nomor', 'induk', 'duduk', 'pakai', 'orang', 'bawa', 'kartu', 'vaksin', 'ya']",negative
9/18/2021 10:08,maaf ibu kalau ingin masuk supermarket harus menunjukan aplikasi peduli lindungi ya saya tidak mengunduh peduli lindungi tidak bisa masuk,"['maaf', 'ibu', 'kalau', 'ingin', 'masuk', 'supermarket', 'harus', 'menunjukan', 'aplikasi', 'peduli', 'lindungi', 'ya', 'saya', 'tidak', 'mengunduh', 'peduli', 'lindungi', 'tidak', 'bisa', 'masuk']","['maaf', 'masuk', 'supermarket', 'menunjukan', 'aplikasi', 'peduli', 'lindungi', 'ya', 'mengunduh', 'peduli', 'lindungi', 'masuk']","['maaf', 'masuk', 'supermarket', 'tunjuk', 'aplikasi', 'peduli', 'lindung', 'ya', 'unduh', 'peduli', 'lindung', 'masuk']","['maaf', 'masuk', 'supermarket', 'tunjuk', 'aplikasi', 'peduli', 'lindung', 'ya', 'unduh', 'peduli', 'lindung', 'masuk']",negative
9/21/2021 16:27,kalau yang dimaksud mirota kampus iya tapi temanku kemarin hanya menunjukan sertifikat saja bisa saya tanpa scan di aplikasi peduli lindungi,"['kalau', 'yang', 'dimaksud', 'mirota', 'kampus', 'iya', 'tapi', 'temanku', 'kemarin', 'hanya', 'menunjukan', 'sertifikat', 'saja', 'bisa', 'saya', 'tanpa', 'scan', 'di', 'aplikasi', 'peduli', 'lindungi']","['mirota', 'kampus', 'iya', 'temanku', 'kemarin', 'menunjukan', 'sertifikat', 'scan', 'aplikasi', 'peduli', 'lindungi']","['mirota', 'kampus', 'iya', 'teman', 'kemarin', 'tunjuk', 'sertifikat', 'scan', 'aplikasi', 'peduli', 'lindung']","['mirota', 'kampus', 'iya', 'teman', 'kemarin', 'tunjuk', 'sertifikat', 'scan', 'aplikasi', 'peduli', 'lindung']",positive
9/19/2021 21:47,salah fokus itu logo peduli lindungi benar benar seperti kenal pada aplikasi lain,"['salah', 'fokus', 'itu', 'logo', 'peduli', 'lindungi', 'benar', 'benar', 'seperti', 'kenal', 'pada', 'aplikasi', 'lain']","['salah', 'fokus', 'logo', 'peduli', 'lindungi', 'kenal', 'aplikasi']","['salah', 'fokus', 'logo', 'peduli', 'lindung', 'kenal', 'aplikasi']","['salah', 'fokus', 'logo', 'peduli', 'lindung', 'kenal', 'aplikasi']",neutral
9/16/2021 23:45,semangat pak semoga bapak selalu sehat walafiat saya selalu mendoakan semua orang yang peduli,"['semangat', 'pak', 'semoga', 'bapak', 'selalu', 'sehat', 'walafiat', 'saya', 'selalu', 'mendoakan', 'semua', 'orang', 'yang', 'peduli']","['semangat', 'semoga', 'sehat', 'walafiat', 'mendoakan', 'orang', 'peduli']","['semangat', 'moga', 'sehat', 'walafiat', 'doa', 'orang', 'peduli']","['semangat', 'moga', 'sehat', 'walafiat', 'doa', 'orang', 'peduli']",positive
9/17/2021 14:52,dek pertanyanku sederhana saja juta penduduk indonesia haruskah mempunyai aplikasi peduli lindungi,"['dek', 'pertanyanku', 'sederhana', 'saja', 'juta', 'penduduk', 'indonesia', 'haruskah', 'mempunyai', 'aplikasi', 'peduli', 'lindungi']","['dek', 'pertanyanku', 'sederhana', 'juta', 'penduduk', 'indonesia', 'haruskah', 'aplikasi', 'peduli', 'lindungi']","['dek', 'pertanyanku', 'sederhana', 'juta', 'duduk', 'indonesia', 'harus', 'aplikasi', 'peduli', 'lindung']","['dek', 'pertanyanku', 'sederhana', 'juta', 'duduk', 'indonesia', 'harus', 'aplikasi', 'peduli', 'lindung']",neutral
9/16/2021 0:36,banyak yang bilang ini aplikasi belum terdaftar di playstore iya,"['banyak', 'yang', 'bilang', 'ini', 'aplikasi', 'belum', 'terdaftar', 'di', 'playstore', 'iya']","['bilang', 'aplikasi', 'terdaftar', 'playstore', 'iya']","['bilang', 'aplikasi', 'daftar', 'playstore', 'iya']","['bilang', 'aplikasi', 'daftar', 'playstore', 'iya']",neutral
9/16/2021 7:59,buka aplikasi peduli lindungi lindungi sambil dengarkan intro club foot begitu masuk lirik pertama ada tulisan negatif langsung keluar,"['buka', 'aplikasi', 'peduli', 'lindungi', 'lindungi', 'sambil', 'dengarkan', 'intro', 'club', 'foot', 'begitu', 'masuk', 'lirik', 'pertama', 'ada', 'tulisan', 'negatif', 'langsung', 'keluar']","['buka', 'aplikasi', 'peduli', 'lindungi', 'lindungi', 'dengarkan', 'intro', 'club', 'foot', 'masuk', 'lirik', 'tulisan', 'negatif', 'langsung']","['buka', 'aplikasi', 'peduli', 'lindung', 'lindung', 'dengar', 'intro', 'club', 'foot', 'masuk', 'lirik', 'tulis', 'negatif', 'langsung']","['buka', 'aplikasi', 'peduli', 'lindung', 'lindung', 'dengar', 'intro', 'club', 'foot', 'masuk', 'lirik', 'tulis', 'negatif', 'langsung']",negative
9/8/2021 0:44,coba lihat whatsapp kamu coba lihat riwayat perjalanan di aplikasi peduli lindungi kamu,"['coba', 'lihat', 'whatsapp', 'kamu', 'coba', 'lihat', 'riwayat', 'perjalanan', 'di', 'aplikasi', 'peduli', 'lindungi', 'kamu']","['coba', 'lihat', 'whatsapp', 'coba', 'lihat', 'riwayat', 'perjalanan', 'aplikasi', 'peduli', 'lindungi']","['coba', 'lihat', 'whatsapp', 'coba', 'lihat', 'riwayat', 'jalan', 'aplikasi', 'peduli', 'lindung']","['coba', 'lihat', 'whatsapp', 'coba', 'lihat', 'riwayat', 'jalan', 'aplikasi', 'peduli', 'lindung']",neutral
9/21/2021 10:35,dari aplikasi saja datanya masih banyak yang eror kok dijadikan syarat ini itu belum lagi yang karena alasan tidak dapat masuk ke aplikasi peduli lindungi,"['dari', 'aplikasi', 'saja', 'datanya', 'masih', 'banyak', 'yang', 'eror', 'kok', 'dijadikan', 'syarat', 'ini', 'itu', 'belum', 'lagi', 'yang', 'karena', 'alasan', 'tidak', 'dapat', 'masuk', 'ke', 'aplikasi', 'peduli', 'lindungi']","['aplikasi', 'datanya', 'eror', 'dijadikan', 'syarat', 'alasan', 'masuk', 'aplikasi', 'peduli', 'lindungi']","['aplikasi', 'data', 'eror', 'jadi', 'syarat', 'alas', 'masuk', 'aplikasi', 'peduli', 'lindung']","['aplikasi', 'data', 'eror', 'jadi', 'syarat', 'alas', 'masuk', 'aplikasi', 'peduli', 'lindung']",negative
9/18/2021 14:21,eh main dong tapi jangan ke tempat yang pakai sertifikat vaksin sama peduli lindungi malas banget mohon maaf jangan suka menyusahkan orang lain,"['eh', 'main', 'dong', 'tapi', 'jangan', 'ke', 'tempat', 'yang', 'pakai', 'sertifikat', 'vaksin', 'sama', 'peduli', 'lindungi', 'malas', 'banget', 'mohon', 'maaf', 'jangan', 'suka', 'menyusahkan', 'orang', 'lain']","['eh', 'main', 'pakai', 'sertifikat', 'vaksin', 'peduli', 'lindungi', 'malas', 'banget', 'mohon', 'maaf', 'suka', 'menyusahkan', 'orang']","['eh', 'main', 'pakai', 'sertifikat', 'vaksin', 'peduli', 'lindung', 'malas', 'banget', 'mohon', 'maaf', 'suka', 'susah', 'orang']","['eh', 'main', 'pakai', 'sertifikat', 'vaksin', 'peduli', 'lindung', 'malas', 'banget', 'mohon', 'maaf', 'suka', 'susah', 'orang']",negative
9/19/2021 4:56,ini perasaan saja apa bagaimana sih ya aplikasi peduli lindungi menguras baterai saya cepat sekali,"['ini', 'perasaan', 'saja', 'apa', 'bagaimana', 'sih', 'ya', 'aplikasi', 'peduli', 'lindungi', 'menguras', 'baterai', 'saya', 'cepat', 'sekali']","['perasaan', 'sih', 'ya', 'aplikasi', 'peduli', 'lindungi', 'menguras', 'baterai', 'cepat']","['asa', 'sih', 'ya', 'aplikasi', 'peduli', 'lindung', 'uras', 'baterai', 'cepat']","['asa', 'sih', 'ya', 'aplikasi', 'peduli', 'lindung', 'uras', 'baterai', 'cepat']",negative
9/22/2021 7:08,kamu unduh apaan sih itu peduli lindungi saya kurang peduli ya maaf ya sudah saya unduh aplikasi lain saja,"['kamu', 'unduh', 'apaan', 'sih', 'itu', 'peduli', 'lindungi', 'saya', 'kurang', 'peduli', 'ya', 'maaf', 'ya', 'sudah', 'saya', 'unduh', 'aplikasi', 'lain', 'saja']","['unduh', 'sih', 'peduli', 'lindungi', 'peduli', 'ya', 'maaf', 'ya', 'unduh', 'aplikasi']","['unduh', 'sih', 'peduli', 'lindung', 'peduli', 'ya', 'maaf', 'ya', 'unduh', 'aplikasi']","['unduh', 'sih', 'peduli', 'lindung', 'peduli', 'ya', 'maaf', 'ya', 'unduh', 'aplikasi']",negative
9/19/2021 0:40,kode otp peduli lindungi ko tidak bisa masuk sih kesal banget,"['kode', 'otp', 'peduli', 'lindungi', 'ko', 'tidak', 'bisa', 'masuk', 'sih', 'kesal', 'banget']","['kode', 'otp', 'peduli', 'lindungi', 'ko', 'masuk', 'sih', 'kesal', 'banget']","['kode', 'otp', 'peduli', 'lindung', 'ko', 'masuk', 'sih', 'kesal', 'banget']","['kode', 'otp', 'peduli', 'lindung', 'ko', 'masuk', 'sih', 'kesal', 'banget']",negative
9/4/2021 3:11,mulai hari ini masuk kantor pakai peduli lindungi ya saya aplikasi apaan lagi ini yang dihapus supaya memorinya cukup,"['mulai', 'hari', 'ini', 'masuk', 'kantor', 'pakai', 'peduli', 'lindungi', 'ya', 'saya', 'aplikasi', 'apaan', 'lagi', 'ini', 'yang', 'dihapus', 'supaya', 'memorinya', 'cukup']","['masuk', 'kantor', 'pakai', 'peduli', 'lindungi', 'ya', 'aplikasi', 'dihapus', 'memorinya']","['masuk', 'kantor', 'pakai', 'peduli', 'lindung', 'ya', 'aplikasi', 'hapus', 'memori']","['masuk', 'kantor', 'pakai', 'peduli', 'lindung', 'ya', 'aplikasi', 'hapus', 'memori']",negative
9/18/2021 5:07,pergi ke mall yuk saya tidak punya aplikasi peduli lindungi ya unduh memori penuh ya sudah sih bilang saja tidak mau,"['pergi', 'ke', 'mall', 'yuk', 'saya', 'tidak', 'punya', 'aplikasi', 'peduli', 'lindungi', 'ya', 'unduh', 'memori', 'penuh', 'ya', 'sudah', 'sih', 'bilang', 'saja', 'tidak', 'mau']","['pergi', 'mall', 'yuk', 'aplikasi', 'peduli', 'lindungi', 'ya', 'unduh', 'memori', 'penuh', 'ya', 'sih', 'bilang']","['pergi', 'mall', 'yuk', 'aplikasi', 'peduli', 'lindung', 'ya', 'unduh', 'memori', 'penuh', 'ya', 'sih', 'bilang']","['pergi', 'mall', 'yuk', 'aplikasi', 'peduli', 'lindung', 'ya', 'unduh', 'memori', 'penuh', 'ya', 'sih', 'bilang']",negative
9/6/2021 12:06,peduli lindungi biasa saja padahal tapi saya kesal sama namanya dimana peduli lingkungan peduli di fabel ini peduli lindungi woi,"['peduli', 'lindungi', 'biasa', 'saja', 'padahal', 'tapi', 'saya', 'kesal', 'sama', 'namanya', 'dimana', 'peduli', 'lingkungan', 'peduli', 'di', 'fabel', 'ini', 'peduli', 'lindungi', 'woi']","['peduli', 'lindungi', 'kesal', 'namanya', 'dimana', 'peduli', 'lingkungan', 'peduli', 'fabel', 'peduli', 'lindungi', 'woi']","['peduli', 'lindung', 'kesal', 'nama', 'mana', 'peduli', 'lingkung', 'peduli', 'fabel', 'peduli', 'lindung', 'woi']","['peduli', 'lindung', 'kesal', 'nama', 'mana', 'peduli', 'lingkung', 'peduli', 'fabel', 'peduli', 'lindung', 'woi']",negative
9/4/2021 4:31,pemerintah menjamin keamanan aplikasi peduli lindungi,"['pemerintah', 'menjamin', 'keamanan', 'aplikasi', 'peduli', 'lindungi']","['pemerintah', 'menjamin', 'keamanan', 'aplikasi', 'peduli', 'lindungi']","['perintah', 'jamin', 'aman', 'aplikasi', 'peduli', 'lindung']","['perintah', 'jamin', 'aman', 'aplikasi', 'peduli', 'lindung']",positive
9/22/2021 13:56,pertama dengar yuk peduli lindungi aplikasi covid itu saat mau ke mall harus pasang dong itu aplikasinya ketika pasang malah tidak bisa di pakai,"['pertama', 'dengar', 'yuk', 'peduli', 'lindungi', 'aplikasi', 'covid', 'itu', 'saat', 'mau', 'ke', 'mall', 'harus', 'pasang', 'dong', 'itu', 'aplikasinya', 'ketika', 'pasang', 'malah', 'tidak', 'bisa', 'di', 'pakai']","['dengar', 'yuk', 'peduli', 'lindungi', 'aplikasi', 'covid', 'mall', 'pasang', 'aplikasinya', 'pasang', 'pakai']","['dengar', 'yuk', 'peduli', 'lindung', 'aplikasi', 'covid', 'mall', 'pasang', 'aplikasi', 'pasang', 'pakai']","['dengar', 'yuk', 'peduli', 'lindung', 'aplikasi', 'covid', 'mall', 'pasang', 'aplikasi', 'pasang', 'pakai']",negative
9/19/2021 23:02,punya akun peduli lindungi kak,"['punya', 'akun', 'peduli', 'lindungi', 'kak']","['akun', 'peduli', 'lindungi', 'kak']","['akun', 'peduli', 'lindung', 'kak']","['akun', 'peduli', 'lindung', 'kak']",neutral
9/21/2021 0:45,sayang kamu lagi unduh apa peduli lindungi memang saya kurang peduli bukan gitu sayang kita putus,"['sayang', 'kamu', 'lagi', 'unduh', 'apa', 'peduli', 'lindungi', 'memang', 'saya', 'kurang', 'peduli', 'bukan', 'gitu', 'sayang', 'kita', 'putus']","['sayang', 'unduh', 'peduli', 'lindungi', 'peduli', 'gitu', 'sayang', 'putus']","['sayang', 'unduh', 'peduli', 'lindung', 'peduli', 'gitu', 'sayang', 'putus']","['sayang', 'unduh', 'peduli', 'lindung', 'peduli', 'gitu', 'sayang', 'putus']",negative
9/16/2021 7:51,sebel ya ke mall ingin betulkan ponsel satu satunya masuk saja harus scan barcode aplikasi peduli lindungi gimana saya mau scan tolong ponselnya saja mati total,"['sebel', 'ya', 'ke', 'mall', 'ingin', 'betulkan', 'ponsel', 'satu', 'satunya', 'masuk', 'saja', 'harus', 'scan', 'barcode', 'aplikasi', 'peduli', 'lindungi', 'gimana', 'saya', 'mau', 'scan', 'tolong', 'ponselnya', 'saja', 'mati', 'total']","['sebel', 'ya', 'mall', 'betulkan', 'ponsel', 'satunya', 'masuk', 'scan', 'barcode', 'aplikasi', 'peduli', 'lindungi', 'gimana', 'scan', 'tolong', 'ponselnya', 'mati', 'total']","['sebel', 'ya', 'mall', 'betul', 'ponsel', 'satu', 'masuk', 'scan', 'barcode', 'aplikasi', 'peduli', 'lindung', 'gimana', 'scan', 'tolong', 'ponselnya', 'mati', 'total']","['sebel', 'ya', 'mall', 'betul', 'ponsel', 'satu', 'masuk', 'scan', 'barcode', 'aplikasi', 'peduli', 'lindung', 'gimana', 'scan', 'tolong', 'ponselnya', 'mati', 'total']",negative
9/18/2021 2:56,sehun lagi apa ya lagi pegel tangannya ya demam tidak ya flu juga tidak ya sertifikat vaksin nya kira sudah dapat belum ya,"['sehun', 'lagi', 'apa', 'ya', 'lagi', 'pegel', 'tangannya', 'ya', 'demam', 'tidak', 'ya', 'flu', 'juga', 'tidak', 'ya', 'sertifikat', 'vaksin', 'nya', 'kira', 'sudah', 'dapat', 'belum', 'ya']","['sehun', 'ya', 'pegel', 'tangannya', 'ya', 'demam', 'ya', 'flu', 'ya', 'sertifikat', 'vaksin', 'nya', 'ya']","['hun', 'ya', 'gel', 'tangan', 'ya', 'demam', 'ya', 'flu', 'ya', 'sertifikat', 'vaksin', 'nya', 'ya']","['hun', 'ya', 'gel', 'tangan', 'ya', 'demam', 'ya', 'flu', 'ya', 'sertifikat', 'vaksin', 'nya', 'ya']",negative
